period,province,district,data_type,count
2018-02-01,Luapula,Mwense,Tested,8982
2018-02-01,Luapula,Nchelenge,Clinical,16
2018-02-01,Luapula,Nchelenge,Confirmed,5134
2018-02-01,Luapula,Nchelenge,Tested,9911
2018-02-01,Luapula,Samfya,Clinical,179
2018-02-01,Luapula,Samfya,Confirmed,5205
2018-02-01,Luapula,Samfya,Tested,10241
2018-02-01,Lusaka,Chilanga,Clinical,7
2018-02-01,Lusaka,Chilanga,Confirmed,164
2018-02-01,Lusaka,Chilanga,Tested,1650
2018-02-01,Lusaka,Chirundu,Clinical,5
2018-02-01,Lusaka,Chirundu,Confirmed,88
2018-02-01,Lusaka,Chirundu,Confirmed_Passive_CHW,153
2018-02-01,Lusaka,Chirundu,Tested,1001
2018-02-01,Lusaka,Chirundu,Tested_Passive_CHW,449
2018-02-01,Lusaka,Chongwe,Clinical,15
2018-02-01,Lusaka,Chongwe,Confirmed,464
2018-02-01,Lusaka,Chongwe,Tested,4787
2018-02-01,Lusaka,Kafue,Clinical,46
2018-02-01,Lusaka,Kafue,Confirmed,246
2018-02-01,Lusaka,Kafue,Confirmed_Passive_CHW,41
2018-02-01,Lusaka,Kafue,Tested,2292
2018-02-01,Lusaka,Kafue,Tested_Passive_CHW,205
2018-02-01,Lusaka,Luangwa,Clinical,49
