"","period","province","district","count"
"515","2018-05-01","Luapula","Nchelenge",5731
"516","2018-05-01","Luapula","Samfya",6499
"517","2018-05-01","Lusaka","Chilanga",430
"518","2018-05-01","Lusaka","Chirundu",389
"519","2018-05-01","Lusaka","Chongwe",1070
"520","2018-05-01","Lusaka","Kafue",484
"521","2018-05-01","Lusaka","Luangwa",1545
"522","2018-05-01","Lusaka","Lusaka",2801
"523","2018-05-01","Lusaka","Rufunsa",6096
"524","2018-05-01","Muchinga","Chama",14802
"525","2018-05-01","Muchinga","Chinsali",6218
"526","2018-05-01","Muchinga","Isoka",6521
"527","2018-05-01","Muchinga","Kanchibiya",4645
"528","2018-05-01","Muchinga","Lavushimanda",2228
"529","2018-05-01","Muchinga","Mafinga",2821
"530","2018-05-01","Muchinga","Mpika",7303
"531","2018-05-01","Muchinga","Nakonde",1388
"532","2018-05-01","Muchinga","Shiwang'andu",4842
"533","2018-05-01","Northern","Chilubi",4251
"534","2018-05-01","Northern","Kaputa",2921
"535","2018-05-01","Northern","Kasama",12346
"536","2018-05-01","Northern","Lunte",2453
"537","2018-05-01","Northern","Lupososhi",1833
"538","2018-05-01","Northern","Luwingu",3332
"539","2018-05-01","Northern","Mbala",6258
"540","2018-05-01","Northern","Mporokoso",1168
"541","2018-05-01","Northern","Mpulungu",2182
"542","2018-05-01","Northern","Mungwi",9626
"543","2018-05-01","Northern","Nsama",1118
"544","2018-05-01","Northern","Senga",5242
"545","2018-05-01","Northwestern","Chavuma",3658
"546","2018-05-01","Northwestern","Ikelenge",3199
"547","2018-05-01","Northwestern","Kabompo",2582
"548","2018-05-01","Northwestern","Kalumbila",11097
"549","2018-05-01","Northwestern","Kasempa",5697
"550","2018-05-01","Northwestern","Manyinga",2673
"551","2018-05-01","Northwestern","Mufumbwe",4138
"552","2018-05-01","Northwestern","Mushindamo",3877
"553","2018-05-01","Northwestern","Mwinilunga",8227
"554","2018-05-01","Northwestern","Solwezi",9597
"555","2018-05-01","Northwestern","Zambezi",8537
"556","2018-05-01","Southern","Chikankata",167
"557","2018-05-01","Southern","Choma",228
"558","2018-05-01","Southern","Gwembe",2575
"559","2018-05-01","Southern","Kalomo",516
"560","2018-05-01","Southern","Kazungula",298
"561","2018-05-01","Southern","Livingstone",80
"562","2018-05-01","Southern","Mazabuka",220
"563","2018-05-01","Southern","Monze",164
"564","2018-05-01","Southern","Namwala",77
"565","2018-05-01","Southern","Pemba",115
"566","2018-05-01","Southern","Siavonga",1032
"567","2018-05-01","Southern","Sinazongwe",3433
"568","2018-05-01","Southern","Zimba",213
"569","2018-05-01","Western","Kalabo",8450
"570","2018-05-01","Western","Kaoma",14813
"571","2018-05-01","Western","Limulunga",5753
"572","2018-05-01","Western","Luampa",6110
"573","2018-05-01","Western","Lukulu",7918
"574","2018-05-01","Western","Mitete",2673
"575","2018-05-01","Western","Mongu",12996
"576","2018-05-01","Western","Mulobezi",4390
"577","2018-05-01","Western","Mwandi",746
"578","2018-05-01","Western","Nalolo",3863
"579","2018-05-01","Western","Nkeyema",6529
"580","2018-05-01","Western","Senanga",13738
"581","2018-05-01","Western","Sesheke",1883
"582","2018-05-01","Western","Shang'ombo",5693
"583","2018-05-01","Western","Sikongo",2990
"584","2018-05-01","Western","Sioma",2039
"585","2018-05-01",NA,NA,32
"586","2018-06-01","Central","Chibombo",4051
"587","2018-06-01","Central","Chisamba",2073
"588","2018-06-01","Central","Chitambo",3081
"589","2018-06-01","Central","Itezhi-tezhi",1006
"590","2018-06-01","Central","Kabwe",4573
