,period,province,district,count
481,5/1/2018,Copperbelt,Chililabombwe,3525
482,5/1/2018,Copperbelt,Chingola,4604
483,5/1/2018,Copperbelt,Kalulushi,6057
484,5/1/2018,Copperbelt,Kitwe,12516
485,5/1/2018,Copperbelt,Luanshya,10620
486,5/1/2018,Copperbelt,Lufwanyama,13686
487,5/1/2018,Copperbelt,Masaiti,14360
488,5/1/2018,Copperbelt,Mpongwe,18291
489,5/1/2018,Copperbelt,Mufulira,3311
490,5/1/2018,Copperbelt,Ndola,5868
491,5/1/2018,Eastern,Chadiza,10460
492,5/1/2018,Eastern,Chasefu,9924
493,5/1/2018,Eastern,Chipangali,25707
494,5/1/2018,Eastern,Chipata,17701
495,5/1/2018,Eastern,Kasenengwa,12436
496,5/1/2018,Eastern,Katete,13546
497,5/1/2018,Eastern,Lumezi,16799
498,5/1/2018,Eastern,Lundazi,13967
499,5/1/2018,Eastern,Lusangazi,6630
500,5/1/2018,Eastern,Mambwe,14388
501,5/1/2018,Eastern,Nyimba,11171
502,5/1/2018,Eastern,Petauke,12818
503,5/1/2018,Eastern,Sinda,11288
504,5/1/2018,Eastern,Vubwi,7932
505,5/1/2018,Luapula,Chembe,2058
506,5/1/2018,Luapula,Chienge,4549
507,5/1/2018,Luapula,Chifunabuli,4229
508,5/1/2018,Luapula,Chipili,2211
509,5/1/2018,Luapula,Kawambwa,3882
510,5/1/2018,Luapula,Lunga,579
511,5/1/2018,Luapula,Mansa,17155
512,5/1/2018,Luapula,Milenge,3253
513,5/1/2018,Luapula,Mwansabombwe,1948
514,5/1/2018,Luapula,Mwense,6315
515,5/1/2018,Luapula,Nchelenge,5731
516,5/1/2018,Luapula,Samfya,6499
517,5/1/2018,Lusaka,Chilanga,430
518,5/1/2018,Lusaka,Chirundu,389
519,5/1/2018,Lusaka,Chongwe,1070
520,5/1/2018,Lusaka,Kafue,484
521,5/1/2018,Lusaka,Luangwa,1545
522,5/1/2018,Lusaka,Lusaka,2801
523,5/1/2018,Lusaka,Rufunsa,6096
524,5/1/2018,Muchinga,Chama,14802
525,5/1/2018,Muchinga,Chinsali,6218
526,5/1/2018,Muchinga,Isoka,6521
527,5/1/2018,Muchinga,Kanchibiya,4645
528,5/1/2018,Muchinga,Lavushimanda,2228
529,5/1/2018,Muchinga,Mafinga,2821
530,5/1/2018,Muchinga,Mpika,7303
531,5/1/2018,Muchinga,Nakonde,1388
532,5/1/2018,Muchinga,Shiwang'andu,4842
533,5/1/2018,Northern,Chilubi,4251
534,5/1/2018,Northern,Kaputa,2921
535,5/1/2018,Northern,Kasama,12346
536,5/1/2018,Northern,Lunte,2453
537,5/1/2018,Northern,Lupososhi,1833
538,5/1/2018,Northern,Luwingu,3332
539,5/1/2018,Northern,Mbala,6258
540,5/1/2018,Northern,Mporokoso,1168
541,5/1/2018,Northern,Mpulungu,2182
542,5/1/2018,Northern,Mungwi,9626
543,5/1/2018,Northern,Nsama,1118
544,5/1/2018,Northern,Senga,5242
545,5/1/2018,Northwestern,Chavuma,3658
546,5/1/2018,Northwestern,Ikelenge,3199
547,5/1/2018,Northwestern,Kabompo,2582
548,5/1/2018,Northwestern,Kalumbila,11097
549,5/1/2018,Northwestern,Kasempa,5697
550,5/1/2018,Northwestern,Manyinga,2673
551,5/1/2018,Northwestern,Mufumbwe,4138
552,5/1/2018,Northwestern,Mushindamo,3877
553,5/1/2018,Northwestern,Mwinilunga,8227
554,5/1/2018,Northwestern,Solwezi,9597
555,5/1/2018,Northwestern,Zambezi,8537
556,5/1/2018,Southern,Chikankata,167
557,5/1/2018,Southern,Choma,228
558,5/1/2018,Southern,Gwembe,2575
559,5/1/2018,Southern,Kalomo,516
560,5/1/2018,Southern,Kazungula,298
561,5/1/2018,Southern,Livingstone,80
562,5/1/2018,Southern,Mazabuka,220
563,5/1/2018,Southern,Monze,164
564,5/1/2018,Southern,Namwala,77
565,5/1/2018,Southern,Pemba,115
566,5/1/2018,Southern,Siavonga,1032
567,5/1/2018,Southern,Sinazongwe,3433
568,5/1/2018,Southern,Zimba,213
569,5/1/2018,Western,Kalabo,8450
570,5/1/2018,Western,Kaoma,14813
571,5/1/2018,Western,Limulunga,5753
572,5/1/2018,Western,Luampa,6110
573,5/1/2018,Western,Lukulu,7918
574,5/1/2018,Western,Mitete,2673
575,5/1/2018,Western,Mongu,12996
