period,province,district,Clinical,Confirmed,Tested,Confirmed_Passive_CHW,Tested_Passive_CHW
2018-03-01,Luapula,Chembe,NA,2894,5513,NA,NA
2018-03-01,Luapula,Chienge,155,3542,5216,NA,NA
2018-03-01,Luapula,Chifunabuli,NA,4191,9232,NA,NA
2018-03-01,Luapula,Chipili,5,1835,3539,NA,NA
2018-03-01,Luapula,Kawambwa,12,2145,4999,NA,NA
2018-03-01,Luapula,Lunga,605,694,1273,NA,NA
2018-03-01,Luapula,Mansa,1738,15358,25060,NA,NA
2018-03-01,Luapula,Milenge,29,3743,4357,NA,NA
2018-03-01,Luapula,Mwansabombwe,21,1347,4198,NA,NA
2018-03-01,Luapula,Mwense,29,3693,8470,NA,NA
2018-03-01,Luapula,Nchelenge,18,3692,9252,4,6
2018-03-01,Luapula,Samfya,387,5229,8970,NA,NA
2018-03-01,Lusaka,Chilanga,49,179,2202,NA,NA
2018-03-01,Lusaka,Chirundu,14,143,1526,80,442
2018-03-01,Lusaka,Chongwe,29,510,5782,NA,NA
2018-03-01,Lusaka,Kafue,39,185,2610,44,219
2018-03-01,Lusaka,Luangwa,10,843,3034,NA,NA
2018-03-01,Lusaka,Lusaka,1656,1059,19184,NA,NA
2018-03-01,Lusaka,Rufunsa,317,4125,8887,NA,NA
2018-03-01,Muchinga,Chama,241,5502,13649,NA,NA
2018-03-01,Muchinga,Chinsali,NA,4584,10749,NA,NA
2018-03-01,Muchinga,Isoka,NA,3714,9055,NA,NA
2018-03-01,Muchinga,Kanchibiya,49,4292,8063,NA,NA
2018-03-01,Muchinga,Lavushimanda,NA,2903,4114,NA,NA
2018-03-01,Muchinga,Mafinga,NA,2321,3928,NA,NA
2018-03-01,Muchinga,Mpika,148,7389,12569,NA,NA
2018-03-01,Muchinga,Nakonde,NA,746,5935,NA,NA
2018-03-01,Muchinga,Shiwang'andu,NA,3759,7823,NA,NA
2018-03-01,Northern,Chilubi,470,2231,3359,NA,NA
2018-03-01,Northern,Kaputa,10,1621,4662,NA,NA
2018-03-01,Northern,Kasama,189,12639,20264,NA,NA
2018-03-01,Northern,Lunte,4,1255,1927,NA,NA
2018-03-01,Northern,Lupososhi,5,962,1716,NA,NA
2018-03-01,Northern,Luwingu,10,3123,5888,NA,NA
2018-03-01,Northern,Mbala,156,4216,8233,NA,NA
2018-03-01,Northern,Mporokoso,NA,1206,2534,NA,NA
2018-03-01,Northern,Mpulungu,18,1978,4232,NA,NA
2018-03-01,Northern,Mungwi,269,7274,11792,NA,NA
2018-03-01,Northern,Nsama,6,415,703,NA,NA
2018-03-01,Northern,Senga,NA,4528,7357,NA,NA
2018-03-01,Northwestern,Chavuma,107,3332,2417,NA,NA
2018-03-01,Northwestern,Ikelenge,NA,5570,9300,NA,NA
2018-03-01,Northwestern,Kabompo,NA,4772,8317,NA,NA
2018-03-01,Northwestern,Kalumbila,113,6452,18569,NA,NA
2018-03-01,Northwestern,Kasempa,11,9603,800,NA,NA
2018-03-01,Northwestern,Manyinga,88,5272,10121,NA,NA
2018-03-01,Northwestern,Mufumbwe,7,5536,10485,NA,NA
2018-03-01,Northwestern,Mushindamo,55,5398,6350,NA,NA
2018-03-01,Northwestern,Mwinilunga,1044,9027,16819,NA,NA
2018-03-01,Northwestern,Solwezi,759,13531,23120,NA,NA
2018-03-01,Northwestern,Zambezi,34,8141,13172,NA,NA
2018-03-01,Southern,Chikankata,NA,87,1000,20,431
2018-03-01,Southern,Choma,NA,92,3680,37,1722
2018-03-01,Southern,Gwembe,536,1738,4580,1889,3503
2018-03-01,Southern,Kalomo,55,58,3344,120,2933
2018-03-01,Southern,Kazungula,50,20,1365,164,2722
2018-03-01,Southern,Livingstone,7,48,579,10,366
2018-03-01,Southern,Mazabuka,409,71,2115,10,1006
2018-03-01,Southern,Monze,NA,64,2828,7,905
2018-03-01,Southern,Namwala,NA,18,2285,16,1489
2018-03-01,Southern,Pemba,NA,47,2327,28,667
2018-03-01,Southern,Siavonga,NA,329,1530,248,933
2018-03-01,Southern,Sinazongwe,102,3779,8295,2812,6519
2018-03-01,Southern,Zimba,NA,50,1328,88,952
2018-03-01,Western,Kalabo,1368,8254,NA,5631,8458
2018-03-01,Western,Kaoma,2264,10500,NA,2239,2982
2018-03-01,Western,Limulunga,2075,4197,NA,NA,NA
2018-03-01,Western,Luampa,NA,4484,20817,2504,3584
2018-03-01,Western,Lukulu,7,11662,NA,NA,NA
2018-03-01,Western,Mitete,NA,3055,NA,786,1233
2018-03-01,Western,Mongu,488,14569,NA,NA,NA
2018-03-01,Western,Mulobezi,5,2315,187,2061,4470
2018-03-01,Western,Mwandi,14,291,NA,397,803
2018-03-01,Western,Nalolo,799,2910,NA,0,0
2018-03-01,Western,Nkeyema,1284,2579,1473,1747,3153
2018-03-01,Western,Senanga,963,12684,20321,NA,NA
2018-03-01,Western,Sesheke,17,1140,2476,1029,2079
2018-03-01,Western,Shang'ombo,91,4094,NA,4058,7727
2018-03-01,Western,Sikongo,NA,3682,NA,1897,2930
2018-03-01,Western,Sioma,NA,3109,1238,1317,3343
2018-03-01,NA,NA,NA,NA,NA,76,101
